,character,dialogue,episode,season,total_words_spoken
2,bran, i don't want to see anyone  i don't want to go  kneel hodor  yes well i mean i did like to  i'm not a cripple  will i really be able to ride,4,1,32
3,bronn, you can have my room,4,1,5
4,catelyn, and to you  i was still catelyn tully the last time i stayed here you ser is that the black bat of harrenhal i see embroidered on your coat  and is lady whent a true and honest friend to my father lord hoster tully of riverrun  the red stallion was always a welcome sight at riverrun my father counts jonas bracken amongst his oldest and most loyal bannermen  this man came into my house as a guest and there conspired to murder my son a boy of 10 in the name of king robert and the good lords you serve i call upon you to seize him and help me return him to winterfell to await the king's justice,4,1,119
5,catelyn knight of house,knight of house frey lord walder is well my lady he has asked your father for the honor of his presence on his 90th nameday he plans to take another wife,4,1,31
6,cersei, you're missing your tournament  i thought we might put what happened on the kingsroad behind us – the ugliness with the wolves and forcing you to kill the beast was extreme though sometimes we go to extremes where our children are concerned how is sansa  the only stark who does favors her mother not much of the north in her   i might ask the same of you what is it you hope to accomplish  you can't change him you can't help him he'll do what he wants which is all he's ever done you'll try your best to pick up the pieces  you're just a soldier aren't you you take your orders and you carry on i suppose it makes sense your older brother was trained to lead and you were trained to follow  as was i,4,1,137
7,daenerys, these are my people now you shouldn't call them savages  if my brother was given an army of dothraki could you conquer the seven kingdoms  but if they did  and you know these men  you sold slaves  why  and where is she now  hush now it's all right irri take her and leave us  why did you hit her  i wasn't commanding you i just wanted to invite you to supper  it's a gift i had it made for you  please  you've no right to a braid you've won no victories yet  i am a khaleesi of the dothraki i am the wife of the great khal and i carry his son inside me the next time you raise a hand to me will be the last time you have hands  i hit him i hit the dragon  he is still the true king  no but the common people are waiting for him illyrio said they're sewing dragon banners and praying for his return  i pray for home too my brother will never take back the seven kingdoms he couldn't lead an army even if my husband gave him one he'll never take us home,4,1,195
8,doreah, your grace  they call you the last dragon  you have dragon's blood in your veins  what happened to the dragons i was told that brave men killed them all  i have always wanted to see a dragon there is nothing in the world that i would rather see  they can fly and wherever they are just a few flaps of their wings and they're somewhere else far away and they can kill anyone or anything that tries to hurt them gets burned away to nothing melted like so many candles seeing a dragon would make me very happy  i was not locked in i have seen things  i've seen a man from asshai with a dagger of real dragonglass i've seen a man who could change his face the way that other men change their clothes and i've seen a pirate who wore his weight in gold and whose ship had sails of colored silk so have you seen one  a dragon  what happened to the skulls  that's very sad  no your grace to teach your sister  forgive me khaleesi i did as you asked,4,1,185
9,gendry, it's not for sale  i made it for me  he just asked me questions is all my lord  about my work at first if i was being treated well if i liked it here but then he started asking me about my mother  who she was what she looked like  she died when i was little she had yellow hair she'd sing to me sometimes,4,1,65
10,grenn, what in seven hells is that  no yield yield yield i yield  piss off  why didn't you get up and fight  why not  a bloody coward people saw us talking to him now they'll think we're cowards too  you're too stupid to be a  come on here  where have you been  hit me go on hit me i yield yield yield i yield,4,1,63
11,hugh of the vale, as you can see i'm busy  i'm sorry i didn't catch your name ser  i see well it just so happens that i am,4,1,24
12,irri, yes khaleesi,4,1,2
13,jaime, listen do you hear them how many do you think are in there with him guess   he likes to do this when i'm on duty he makes me listen as he insults my sister  why do i have to forgive you have you wronged me   have we strange i've forgotten  that's where you got your scar   vicious sons of whores  they stopped liking it at the end that was a proper battle d'you remember thoros of myr charging through the breach   i saw the youngest of the greyjoy lads at winterfell it was like seeing a shark on a mountaintop   i doubt it  i don't serve lord stark,4,1,108
14,janos slynt, it's the hand's tournament that's causing all this trouble my lords  call it what you will lord stark ser the city is packed with people and more flooding in every day last night we had a tavern riot a brothel fire three stabbings and a drunken horse race down the street of sisters  i need more men  thank you my lord hand ser they will be put to good use,4,1,70
15,jon, leg shoulder leg left foot forward good now pivot as you deliver the stroke put all your weight behind it  enough he yielded  are you sure you want to do this   i've had worse  it's not going to get any easier you know you'll have to defend yourself   the wall's no place for cowards  come stand by the fire it's warmer  you're not you're freezing   you can't fight you can't see you're afraid of heights and almost everything else probably what are you doing here sam   yes he is   well… you can't get any worse  watch duty with sam  he wasn't hungry  that's enough sam's no different from the rest of us there was no place for him in the world so he's come here we're not going to hurt him in the training yard anymore never again no matter what thorne says he's our brother now and we're going to protect him   no one touches sam  i wouldn't doubt it   sally on the side  i didn't think you'd be so upset about it   as a matter of fact i'm the same as you   i came very close once i was alone in a room with a naked girl but   i know where to put it   young and gorgeous a whore named ros  red   you don't want to know  better   what's my name   and why is my surname snow  i never met my mother my father wouldn't even tell me her name i don't know if she's living or dead i don't know if she's a noblewoman or a fisherman's wife or a whore so i sat there in the brothel as ros took off her clothes but i couldn't do it because all i could think was what if i got her pregnant and she had a child another bastard named snow it's not a good life for a child  i build my own fires,4,1,316
16,jorah, vaes dothrak the city of the horselords  the dothraki have never crossed the narrow sea they fear any water their horses can't drink  king robert is fool enough to meet them in open battle but the men advising him are different  i fought beside them once long ago now ned stark wants my head he drove me from my land  aye  i had no money and an expensive wife  in another place with another man  your brother rhaegar was the last dragon viserys is less than the shadow of a snake  the common people pray for rain health and a summer that never ends they don't care what games the high lords play  home,4,1,114
17,jorah  the truth now, the truth now do you want to see your brother sitting on the iron throne,4,1,15
18,jory," ser hugh ser hugh  i'm here on behalf of lord eddard stark the hand of the king i'm the captain of his guard  no ""ser"" i'm not a knight  he said he'd be glad to talk to the hand himself he's a knight you see  you shouldn't be out here my lord there's no telling who has eyes where  find anything  this is for the king from lord stark  three four  forgive me my lord  we've met before you know  the siege of pyke we fought side by side one afternoon  aye one of the greyjoys nearly took my eye  they like their bloodshed  with his burning sword i'll remember that till the day i die  theon he's a good lad  can i leave this with you the message from lord stark  my lord her grace the queen",4,1,138
19,knight of house bracken, our lord is honored by his trust,4,1,7
20,knight of house whent, it is my lady  she is,4,1,6
21,little finger, i will  and every inn in the city is full and the whores are walking bow-legged  i hear you're reading a boring book  he never stops do you know ser hugh of the vale not surprising until recently he was only a squire jon arryn's squire he was knighted almost immediately after his master's untimely death  i promised cat that i'd help you  a singularly bad idea do you see that boy there one of varys's little birds the spider has taken a great interest in your comings and goings now look there that one belongs to the queen and do you see that septa pretending to read her book  no she's one of mine is there someone in your service whom you trust completely  the wiser answer was no my lord get a message to this paragon of yours discreetly send him to question ser hugh after that you might want him to visit a certain armorer in the city he lives in a large house at the top of the street of steel  i have my observers as i said and it's possible that they saw lord arryn visit this armorer several times in the weeks before his death  distrusting me was the wisest thing you've done since you climbed off your horse  lover's quarrel  an old friend of the family i've known your mother a long long time  no it's quite all right when i was a child i was very small and i come from a little spit of land called the fingers so you see it's an exceedingly clever nickname  ser gregor clegane they call him the mountain the hound's older brother  ser hugh of the vale he was jon arryn's squire look how far he's come  not what you were expecting has anyone ever told you the story of the mountain and the hound lovely little tale of brotherly love the hound was just a pup six years old maybe gregor a few years older already a big lad already getting a bit of a reputation some lucky boys just born with a talent for violence one evening gregor found his little brother playing with a toy by the fire gregor's toy a wooden knight gregor never said a word he just grabbed his brother by the scruff of his neck and shoved his face into the burning coals held him there while the boy screamed while his face melted there aren't very many people who know that story  no please don't if the hound so much as heard you mention it i'm afraid all the knights in king's landing would not be able to save you,4,1,443
22,luwin, he has no memory of that day  the boy has lost the use of his legs,4,1,16
23,marillion, seven blessings to you goodfolk  good idea grandfather i'm starving a song while we wait or  grandfather may be your last chance if you're heading north the only music the northerners know is the howling of wolves  my lord of lannister might i entertain you while you eat i can sing of your father's victory at king's landing,4,1,58
24,masha heddle, i'm sorry my lord we're full up every room  truly my lord we have nothing  lady stark,4,1,17
25,ned," the king's tournament i assure you the hand wants no part of it   you'll get 50 lord baelish will see it paid for   you found money for a champion's purse you can find money to keep the peace i'll also give you 20 of my household guards till the crowds have left  the sooner this is over the better  i'm sure the tourney puts coins in many a pocket now if there's nothing else my lords   i've been hoping to talk to you about jon arryn   why   what did jon want the night before he died   a book what book  i'd like to read it   ""harkon umber first of his name born to lord hother umber and lady amaryllis umber in the 183rd year after aegon's landing at the last hearth blue of eye brown of hair and fair complected died in his 14th year of a wound sustained   did jon arryn tell you what he wanted with it   jon's death   did he say anything to you during his final hours   ""the seed is strong"" what does that mean  and you're quite certain he died of a natural illness   poison   i've heard it said that poison is a woman's weapon   everybody knows that  i've taken enough of your time   thank you i'll find my own way out   it's a hard fall down these steps   cats syrio says…   he's right about that  he needs to get his strength back first  no but someday he could be lord of a holdfast or sit on the king's council or he might raise castles like brandon the builder  you will marry a high lord and rule his castle and your sons shall be knights and princes and lords  pycelle talks too much   knighted for what why are you telling me this   where is ser hugh i'll speak to him  varys or the queen   yes   why  lord baelish perhaps i was wrong to distrust you   a knight they strut around like roosters down here even the ones who've never seen an arrow coming their way  let them look   what did lord arryn want   i'd like to see him as well  this is fine work  there's nothing to forgive when lord arryn came to visit you what would you talk about  what kind of questions  your mother  what did you tell him  look at me get back to work lad if the day ever comes when that boy'd rather wield a sword than forge one you send him to me  king robert's bastard son  your grace  putting my name on it doesn't make it mine   she likes it here  what are you doing here   the king called on me to serve him and the realm and that's what i'll do until he tells me otherwise   if that's my job then so be it   i was also trained to kill my enemies your grace",4,1,477
26,old nan, the little lord's been dreaming again,4,1,6
27,pycelle," this heat on days like this i envy you northerners your summer snows until tomorrow my lord  lord arryn his death was a great sadness to all of us i took personal charge of his care but i could not save him his sickness struck him very hard and very fast i saw him in my chambers just the night before he passed lord jon often came to me for counsel  i have been grand maester for many years kings and hands have come to me for advice since  he came inquiring after a book  i fear it would be of little interest to you my lord a ponderous tome  ""the lineages and histories of the great houses of the seven kingdoms with descriptions of many high lords and noble ladies and their children""  as i said my lord a ponderous read  he did not my lord and i did not presume to ask  such a tragedy  the dying mind is a demented mind lord stark for all the weight they're given last words are usually as significant as first words  what else could it be  a disturbing thought i don't think it likely the hand was loved by all what sort of man would dare  yes women cravens and eunuchs did you know that lord varys is a eunuch  yes yes of course how that sort of person found himself on the king's council i will never know  no trouble at all my lord it's a great honor",4,1,249
28,pyp, they'll need an eighth hell to fit him in  well fought  you're too stupid to be a coward  quick now before summer's over  prince porkchop where is he  impossible,4,1,29
29,rast, come to take the black pudding  you are in love lord snow you girls can do as you please but if thorne puts me up against lady piggy i'm gonna slice me off a side of bacon,4,1,37
30,renly, if you can't keep the king's peace perhaps the city watch should be commanded by someone who can,4,1,18
31,robb, any man of the night's watch is welcome at winterfell  i'm not your boy lannister i'm lord of winterfell while my father is away   why are you here  is this some kind of trick why do you want to help him  you've done my brother a kindness the hospitality of winterfell is yours,4,1,53
32,robert, i'll bet you smell of blackberry jam let me smell it come here  i've been sitting here for days start the damn joust before i piss myself  yes yes enough of the bloody pomp have at it,4,1,37
33,rodrick, boy bread meat and beer quickly  i'd rather throw myself down a well,4,1,13
34,samwell," samwell tarly of horn hill i mean i was of horn hill i've come to take the black  i yield please no more  did he hurt you  you can call me sam if you want my mother calls me sam  i wanted to i just couldn't  i'm a coward my father always says so  you're right i'm sorry i just wanted to thank you  hello ser alliser said i'm to be your new watch partner i should warn you i don't see all that well  no that's all right i'm fine  i don't like high places  on the morning of my 18th nameday my father came to me ""you're almost a man now"" he said ""but you're not worthy of my land and title tomorrow you're going to take the black forsake all claim to your inheritance and start north if you do not"" he said ""then we'll have a hunt and somewhere in these woods your horse will stumble and you'll be thrown from your saddle to die or so i'll tell your mother nothing would please me more"" ser alliser's going to make me fight again tomorrow isn't he  i'm not going to get any better you know  i know for a fact that some of the officers go to that brothel in mole's town  don't you think it's a little bit unfair making us take our vows while they sneak off for a little sally on the side  i find that hard to believe  what color hair  i like red hair and her her  that good  oh no so why exactly did you not make love to ros with the perfect  jon snow  because you're a bastard from the north  so you didn't know where to put it  it is a bit nippy",4,1,296
35,sansa, what if i have a girl  what if i only have girls  jeyne poole's mother had five children all of them girls  but what if  and everyone would hate me  joffrey does  please shut up about it  aegon the conqueror  maegor the cruel  my grandfather and uncle were murdered here weren't they  the mad king  why were they killed  i don't want to speak to my father ever  no i won't  i'm sorry do i  arya  gods who is that  and his opponent  i won't tell anyone i promise,4,1,89
36,septa mordane, someday your husband will sit there and you will sit by his side and one day before too long you will present your son to the court all the lords of westeros will gather here to see the little prince  gods be good you'll have boys and girls and plenty of them  i wouldn't worry about that  yes but it's highly unlikely  if you only had girls i suppose the throne would pass to prince joffrey's little brother  nobody could ever hate you  nonsense why would you say such a thing that business with the wolves i've told you a hundred times a direwolf is not  do you remember your lessons who built the iron throne  and who built the red keep  and how many years did it take to build  they were killed on the orders of king aerys yes  commonly known as the mad king  you should speak to your father about these matters  you will find it in your heart to forgive your father  sansa dear this is lord baelish he's known  don't be rude,4,1,178
37,theon, we have visitors  really if i was cooped up all day with no one but this old bat for company i'd go mad anyway you don't have a choice robb's waiting  neither do i but robb's lord of winterfell which means i do what he says and you do what i say hodor  help bran down the hall  couldn't resist some northern ass if you like redheads ask for ros  he's not my master  she wasn't feeling well  my lady's whereabouts  must have been a pretty sight  we were outnumbered 10 to one  careful imp,4,1,95
38,tobho mott, the former hand did call on me my lord several times i regret to say he did not honor me with his patronage  he always came to see the boy  as you wish my lord gendry here he is strong for his age he works hard show the hand the helmet you made lad  boy this is the king's hand if his lordship wants the helmet  forgive him my lord,4,1,70
39,tyrion,  i must say i received a slightly warmer welcome on my last visit  any man of the night's watch but not i eh boy  then you might learn a lord's courtesy  so it's true hello bran do you remember anything about what happened  curious  would your charming companion be so kind as to kneel my neck is beginning to hurt  do you like to ride bran  what of it with the right horse and saddle even a cripple can ride  then i'm not a dwarf my father will rejoice to hear it i have a gift for you give that to your saddler he'll provide the rest you must shape the horse to the rider start with a yearling and teach it to respond to the reins and to the boy's voice  i have a tender spot in my heart for cripples bastards and broken things  spare me your false courtesies lord stark there's a brothel outside your walls there i'll find a bed and both of us can sleep easier  come to see me off greyjoy kind of you your master doesn't seem to like lannisters  no of course not what happened here where is lady stark why didn't she receive me  she's not in winterfell is she where did she go  my lady your loyalty to your captors is touching tell me how do you think balon greyjoy would feel if he could see his only surviving son has turned lackey i still remember seeing my father's fleet burn in lannisport i believe your uncles were responsible  nothing prettier than watching sailors burn alive yes a great victory for your people shame how it all turned out  a stupid rebellion then i suppose your father realized that when your brothers died in battle now here you are your enemy's squire  i've offended you forgive me it's been a rough morning anyway don't despair i'm a constant disappointment to my own father and i've learned to live with it your next tumble with ros is on me i'll try not to wear her out  my men can sleep in the stable as for myself i don't require a large room  is there nothing i can do to remedy this  there's a clever man you can manage food i trust yoren dine with me  nothing would more likely ruin my supper lady stark what an unexpected pleasure i was sorry to have missed you at winterfell  i envy your father all his fine friends but i don't quite see the purpose of this,4,1,423
40,varys, dreadful  the realm prospers from such events my lord they give the great a chance at glory and the lowly a respite from their woes,4,1,25
41,viys, i'll call them what i like because they're my people this is my army khal drogo is marching the wrong way with my army  yes my dear  they do  it's entirely possible  the brave men didn't kill dragons the brave men rode them rode them from valyria to build the greatest civilization this world has ever seen the breath of the greatest dragon forged the iron throne which the usurper is keeping warm for me the swords of the vanquished a thousand of them melted together like so many candles  well after 15 years in a pleasure house i imagine just seeing the sky makes you happy  what have you seen  a pirate ship  i don't know the usurper had them smashed to powder i expect scattered to the wind  yes it is what did i buy you for to make me sad  to teach my sister how to be a better lover you think i bought you to make khal drogo happy you pretty little idiot go on then get on with it  you send this whore to give me commands i should have sent you back her head  how many times do i have to tell you you do not command me  what's this  dothraki rags are you going to dress me now  this stinks of manure all of it  you would turn me into one of them wouldn't you next you'll want to braid my hair  you do not talk back to me  you are a horselord's slut and now you've woken the dragon,4,1,257
42,yoren, aye my lord,4,1,3
0,arya, come on i'm not gonna hurt you  i'm not a beggar i live here  i want to see my father  my father is hand of the king i'm not a boy i'm arya stark of winterfell and if you lay a hand on me my father will have both your heads on spikes now are you going to let me by or do i need to smack you on the ear to help with your hearing  they said they were going to kill you  i didn't see them but i think one was fat  i'm not lying they said you found the bastard and the wolves are fighting the lions and the savage something about the savage  in the dungeons near the dragon skulls  chasing a cat  i'm a girl  how many guards does my father have  you wouldn't let anyone kill him would you,5,1,145
1,barristan selmy, no i stood vigil for him myself last night he had no one else  bad luck for him going against the mountain  all the knights draw straws lord stark  life is strange not so many years ago we fought as enemies at the trident  you're too modest i've seen you cut down a dozen great knights  he was a fine man your father what the mad king did to him was a terrible crime  perhaps lord arryn left him some money i hear the king wants to joust today  robert tends to do what he wants,5,1,96
2,bran," the greyjoys  i don't know them  ""unbowed unbent unbroken""  ""righteous in wrath""  ""family duty honor""  ""family duty honor"" is that the right order  family comes first  how can she protect the family if she's not with her family  and then she left  why did she leave  do you know where she is now today  then how can you promise me she'll be home soon  i'll never shoot another arrow  you need legs to work a bow  really",5,1,77
3,bronn,  your first you need a woman nothing like a woman after a fight  give me 10 good men and some climbing spikes i'll impregnate the bitch,5,1,26
4,catelyn, remove his hood  i did often and loudly  and why would i do that  shadowcats and hill tribes are the least of your concerns  five years ago  i am not a murderer lannister  the dagger found  rodrik  to whom do i speak  there was no time to send word  that's why there was no time he is my prisoner  my sister will decide what he looks like  lysa you wrote me about the lannisters warning me t-  this man is my prisoner i will not have him harmed,5,1,88
5,cersei, i'm sorry your marriage to ned stark didn't work out you seemed so good together  without a hand everything will fall to pieces  the dothraki don't sail every child knows that they don't have discipline they don't have armor they don't have siege weapons  is my father wrong  we still outnumber them  five  what do you want  our marriage  every day  well seventeen years is quite a long time  yes it tis what was she like  at first just saying her name even in private felt like i was breathing life back into her i thought if i didn't talk about her she'd just fade away for you when i realized that wasn't going to happen i refused to ask out of spite i didn't want to give you the satisfaction of thinking i cared enough to ask and eventually it became clear that my spite didn't mean anything to you as far as i could tell you actually enjoyed it  what harm could lyanna stark's ghost do to either of us that we haven't done to each other a hundred times over  i felt something for you once you know  it doesn't make me feel anything,5,1,197
6,guard 1, off with you no begging  d'you want a smack on your ear to help you with your hearing  you want your father boy he's lying on the floor of some tavern getting pissed on by his friends,5,1,37
7,guard 2, i want to fuck the queen for all the good it does me,5,1,13
8,illyrio mopatis, and when he knows the truth what will he do  what good is war now we're not ready if one hand can die why not a second  we need time khal drogo will not make his move until his son is born you know how these savages are  it never was,5,1,51
9,jaime," such a small pack of wolves  was the hand of the king now i'm not sure what he is lord of somewhere very far away  get back inside where it's safe i'm looking for my brother you remember my brother don't you lord stark blond hair sharp tongue short man  it seems he had some trouble on the road you wouldn't know what happened to him would you  come stark i'd rather you die sword in hand  threaten as in ""i'm going to open your lord from balls to brains and see what starks are made of”  you're right take him alive kill his men  my brother lord stark we want him back",5,1,113
10,jory, pardon my lord there's a night's watchman here begging a word he says it's urgent  come along my lady you heard your father  here in king's landing fifty  no fear on that count little lady  right away my lord lord baelish is here for you  heward and wyl  my lord  stay back ser this is the hand of the king  if you threaten my lord again,5,1,66
11,lancel, it's made too small your grace it won't go  no your grace,5,1,12
12,little finger," 100 gold dragons on the mountain  now what will i buy with 100 gold dragons a dozen barrels of dornish wine or a girl from the pleasure houses of lys  and tell me lord renly when will you be having your friend  loras knew his mare was in heat quite crafty really  no honor but quite a bit of gold  you do move quietly  you look a bit lonely today you should pay a visit to my brothel this evening first boy is on the house  am i all those birds that whisper in your ear such pretty little things trust me we accommodate all inclinations  i'm a purveyor of beauty and discretion both equally important  all desires are valid to a man with a full purse  strictly speaking such a thing would not be in accordance with the king's laws  tell me does someone somewhere keep your balls in a little box i've often wondered  since you last saw me or since i last saw you  saw me with your own eyes  council business we all have so much to discuss with ned stark  one shudders at the thought  but you know something i do believe that i have seen you even more recently than you have seen me  yes earlier today i distinctly recall seeing you talking to lord stark in his chambers  and not long after that when i saw you escorting a certain foreign dignitary council business of course you would have friends from across the narrow sea you're from there yourself after all we're friends aren't we lord varys i'd like to think we are so you can imagine my burden wondering if the king might question my friend's sympathies… to stand at a crossroads where turning left means loyalty to a friend turning right loyalty to the realm  to find myself in a position where a simple word to the king --  to a small council meeting  jorah mormont's a slaver not a traitor small difference i know to an honorable man  when you find yourself in bed with an ugly woman best close your eyes get it over with cut her throat be done with it  his grace went on about you at some length after you took your leave the word ""treason"" was mentioned  when do you return to winterfell  if you're still here come nightfall i'll take you to see the last person jon arryn spoke with before falling ill if that sort of thing still interests you  it won't take more than an hour but as you please  brothels make a much better investment than ship i've found whores rarely sink  well he has more than you for a start  does it matter if you fuck enough women some of them will give you presents  he was the king's hand perhaps robert wanted them looked after he was overcome with fatherly love  what's the meaning of this lannister  my lords i'll bring the city watch",5,1,495
13,loras, i owe you my life ser  lord stark's lucky he still has a head  you're jealous  only if i slip  mhmm  i want you  hold still  you did vomit when that boy's eye was knocked out in the mêlée  he shouldn't have entered the mêlée if he didn't know how to fight  yes well i guess we'll never know  everywhere so how did it end up the targaryen girl will die  it's a shame he can't muster the same enthusiasm for his wife  i have an outrageous amount of money  but a lot more than you  hmm how did that ever happen  do you know who should be king  i am my father could be your bank i've never fought in a war before but i'd fight for you  and where was robert in the line of royal succession joffrey is a monster tommen is eight  stannis has the personality of a lobster  look at it  it's just blood we've all got it in us sometimes a little spills if you become king you're going to see a lot of this you need to get used to it go on look people love you they love to serve you because you're kind to them they want to be near you  you're willing to do what needs to be done but you don't gloat over it you don't love killing where is it written that power is the sole province of the worst that thrones are only made for the hated and the feared you would be a wonderful king,5,1,259
14,luwin, bran  lords  and failed rebellions  good  mhmm  hmm  no a common saying but not their official motto  we're still on their words  you do know them think  house hornwood  your mother had to leave winterfell to protect the family  your mother sat by your bed for three weeks while you slept  when you were born i was the one who pulled you from your mother i placed you in her arms from that moment until the moment she dies she will love you absolutely fiercely  i still can't tell you but she will be home soon  sometimes i worry you're too smart for your own good  and where is that written  hmm if the saddle lord tyrion designed actually works you could learn to shoot a bow from horseback  dothraki boys learn when they're four years old why shouldn't you,5,1,140
15,lysa," you bring him here without permission you pollute my home with his presence your aunt has done a bad thing robin a very bad thing you remember her don't you isn't he beautiful and strong too jon knew it his last words were ""the seed is strong"" he wanted everyone to know what a good strong boy his son would grow up to be look at him the lord of all the vale  to stay away from them not to bring one here  it is  he's tyrion the imp of house lannister he killed your father he murdered the hand of the king  you will watch your tongue these men are knights of the vale every one of the loved jon arryn every one of them would die for me  shh shh shh my sweet boy he's just trying to frighten us lannisters are all liars no one will hurt my baby  perhaps you will my little love  ser vardis my sister's guest is weary take him down below so he can rest introduce him to mord",5,1,177
16,marillion, on that eve the captive imp down-wards from his horse did limp no more would he preen and primp in garb of red and gold ,5,1,25
17,mhaegen, she looks like him don't she my lord she has his nose his black hair  tell him when you see him my lord if it please you tell him how beautiful she is  and tell him i've been with no one else i swear it my lord by the old gods and new i don't want no jewels or nothing just him the king was always good to me  he wasn't that sort of man my lord he just wanted to know if the child was happy healthy,5,1,88
18,mord, you go sleep dwarf man sleep good little dwarf man,5,1,10
19,ned, does ser hugh have any family in the capital  he'd never worn this armor before  who determines the draw  aye but who holds the straws you've done good work sisters  i'm glad we never met on the field ser barristan as is my wife i don't think the widow's life would suit her  my father once told me you were the best he'd ever seen i never knew the man to be wrong about matters of combat  and that lad he was a squire until a few months ago how could he afford a new suit of armor  yes that will never happen  if the king got what he wanted all the time we'd still be fighting a damned rebellion  you're too fat for your armor  you're torturing the poor boy  the breastplate stretcher  maybe you should have one invented  you have no business jousting leave that for the young men  and who's going to hit you back  aye  i'm not thirsty  your squire a lannister boy  robert  where's arya  hey  ser loras rides well  he'll never walk again  so they say  i've been in the capital a month why have you waited so long to tell me this  so why do you trust me now  what sort of doom does the king face  who gave it to him  the squire ser hugh  if ser hugh poisoned him who paid ser hugh  you know i had half my guard out searching for you you promised me this would stop  who did  oh arya  where did you hear this  what were you doing in the dungeons  your name friend  did benjen send you  ah we'll find recruits for you  know what  go on we'll talk more later  jory take her safely to her room  well  is it about my wife  you're speaking of murdering a child  you will dishonor yourself forever if you do this  then we're no better than the mad king  you want to assassinate a girl because the spider heard a rumor  based on whose information  mormont you bring us the whispers of a traitor half a world away and call it fact  he broke the law betrayed his family fled our land we commit murder on the word of this man  the narrow sea still lies between us i'll fear the dothraki the day they teach their horses to run on water  i will have no part in it  and good luck to him i thought you were a better man  i'll go ahead with my daughters get them ready do it yourself don't ask anyone for help  what can i do for you  why what do you care  i don't have the time  round up all the men we have and station them outside the girls' chambers who are your best two swords  find them and meet me at the stables  aye  i will  when jon arryn came to visit you what did he want  she looks healthy enough to me the girl shall want for nothing  what do you know of king robert's bastards  how many  and jon arryn tracked them all down why  come  jory  i remember him well  you kill me your brother's a dead man,5,1,533
20,pycelle, i bear this girl no ill will but should the dothraki invade how many innocents will die how many towns will burn is it not wiser kinder even that she should die now so that tens of thousands might live,5,1,40
21,renly, i'll take that bet  or you could even buy a friend  such a shame littlefinger it would have been so nice for you to have a friend  what are you two conspiring about well whatever it is you'd best hurry up my brother is coming  we should have had them both killed years ago  robert will rant for a few days but he won't do anything he adores the man  are you sure this won't hurt  and you prefer me like this  if you want hairless maybe you should find a little boy  my brother thinks that anyone who hasn't been to war isn't a man he treats me as if i'm a spoiled child oh and you're not loras tyrell the knight of the flowers how many wars have you fought in oh and how much did your father spend on that armor of yours  all i ever hear from robert and stannis is how i'm not tough enough how i squirm at the sight of blood  easy for you to say not everyone is such a gifted swordsman  i could work at fighting all day every day and still never be as good as you  everywhere  it needs to be done unpleasant as it is robert's rather tasteless about it every time he talks about killing her i swear the table rises six inches  he does have a deep abiding lust for her money you have to give it to the lannisters they may be the most pompous ponderous cunts the gods ever suffered to walk the world but they do have outrageous amounts of money  not as much as the lannisters  robert's threatening to take me hunting with him last time we were out there for two weeks tramping through the trees in the rain day after day all so he can stick his spear into something's flesh oh but robert loves his killing and he's the king  because he loves his killing and he used to be good at it  be serious  i'm fourth in line  stannis  he's still my older brother  what are you doing  you cut me,5,1,353
