,character,dialogue,episode,season,total_words_spoken
18,ned, and which one of you was a marksman at ten keep practicing bran go on  get the lads to saddle their horses  he swore an oath cat  tell bran he’s coming too  he won’t be a boy forever and winter is coming  in the name of robert of the house baratheon first of his name …  king of the andals and the first men …  lord of the seven kingdoms and protector of the realm i eddard of the house stark lord of winterfell and warden of the north sentence you to die  you understand why i did it  but do you understand why i had to kill him  the man who passes the sentence should swing the sword  the white walkers have been gone for thousands of years  a madman sees what he sees  there are no mountain lions in these woods  it’s a direwolf  tough old beast  better a quick death they won’t last without their mother  i’m sorry bran  you will train them yourselves you will feed them yourselves and if they die you will bury them yourselves  you have five northern children you’re not an outsider  it’s your gods with all the rules  tell me  your sister the boy …  he’s coming this far north there’s only one thing he’s after  hey hey hey hey what are you doing with that on [pulls off arya’s helm]  your grace  guarding the north for you your grace winterfell is yours  my queen  tell me about jon arryn  we both did  aye  i’m not worthy of the honor  she was my sister this is where she belongs  it’s done your grace the targaryens are gone  the boy i beheaded did you know him  he was talking madness said the walkers slaughtered his friends  a wildling ambush  winter is coming  your pardon  yes the king has honored me with his offer  i don’t fight in tournaments  i don’t fight in tournaments because when i fight a man for real i don’t want him to know what i can do  i’m a northman i belong here with you not down south in that rat’s nest they call a capital  the king takes what he wants that’s why he’s king  how did he get so fat  send him in  stay  what news  she’s fresh widowed cat she doesn’t know what she’s saying  no but i’m still better than you  i hope i’ll serve you well,1,1,403
19,robb, relax your bow arm  lad go run back and get the rest  there are no direwolves south of the wall  put away your blade  what is it  i hear the prince is a right royal prick  go on tommy shave him good he’s never met a girl he likes better than his own hair  uncle benjen  i’m good  time for bed,1,1,61
20,robert, you’ve got fat  cat  nine years why haven’t i seen you where the hell have you been  who have we here you must be robb  your name is  take me to your crypt i want to pay my respects  ned  one minute he was fine and then … burned right through him whatever it was i loved that man  he never had to teach you much but me … you remember me at 16 all i wanted to do was crack skulls and fuck girls he showed me what was what  don’t look at me like that not his fault i didn’t listen  i need you ned down at kings landing not up here where you’re no damn use to anybody lord eddard stark i would name you the hand of the king  i’m not trying to honor you i’m trying to get you to run my kingdom while i eat drink and whore my way to an early grave damn it ned stand up you helped me win the iron throne now help me keep the damn thing we were meant to rule together if your sister had lived we would have been bound by blood well it’s not too late i have a son you have a daughter we’ll join our houses  did you have to bury her in a place like this she should be on a hill somewhere with the sun and the clouds above her  she belonged with me  in my dreams i kill him every night  not all of them  are you as good with a spear as you used to be  i know what i’m putting you through thank you for saying yes i only ask you because i need you you’re a loyal friend you hear me a loyal friend the last one i’ve got  you will and i’ll make sure you don’t look so fucking grim all the time come on boys let’s go kill some boar,1,1,326
21,ros, did you hear the king’s in winterfell  and the queen and her twin brother they say that he is the most handsome man in the seven kingdoms  the queen has two brothers  i hear they call him the imp  oh i hear he’s more than earned it i hear he’s a drunken little lecher into all manner of perversions  we’ve been expecting you lord tyrion  m’lord,1,1,66
22,royce, do the dead frighten you  you don’t think he’ll ask us how they died get back on your horse  it’s a good thing we’re not children you want to run away south run away of course they will behead you as a deserter … if i don’t catch you first get back on your horse i won’t say it again  your dead men seem to have moved camp  what is it,1,1,71
23,sansa, thank you  will you shut up  would you please shut up  do you think joffrey will like me what if he thinks i’m ugly  he’s so handsome  when would we be married soon or do we have to wait  why would he say no he’d be the second most powerful man in the kingdoms  you left your home to come here and i’d be queen someday please make father say yes  please please it’s the only thing i ever wanted  thirteen your grace  i think so your grace  no your grace  arya,1,1,92
24,septa mordane, fine work as always well done  i love the detail that you’ve managed to get in this corners … quite beautiful … the stitching …,1,1,25
25,the hound, rough night imp  i didn’t pick you for a hunter  it’s not hunting if you pay for it,1,1,18
26,theon, mountain lion  it’s a freak  right give it here  i take orders from your father not you  the runt of the litter that one’s yours snow  it’s for the queen i bet i hear she’s [sleek as a mink]  think of all those southern girls he gets to stab with his right royal prick,1,1,54
27,tyrion, mmh it is true what they say about the northern girls  i did hear something about that  and the other brother  there’s the pretty one and there’s the clever one  i hear he hates that nickname  clever girl  have you  the gods gave me one blessing  should i explain to you the meaning of a closed door in a whorehouse brother  she has odd cravings our sister  i’m sorry i’ve begun the feast a bit early and this is the first of many courses  close the door  your uncle’s in the night’s watch  preparing for a night with your family i’ve always wanted to see the wall  my greatest accomplishment you – you’re ned stark’s bastard aren’t you  did i offend you sorry you are the bastard though  and lady stark is not your mother making you a bastard let me give you some advice bastard never forget what you are the rest of the world will not wear it like armor then it can never be used to hurt you  all dwarves are bastards in their fathers’ eyes  if i get through this without squirting from one end or the other it will be a miracle  the greatest in the land my spear never misses,1,1,206
28,viys, daenerys  daenerys there’s our bride to be look – a gift from illyrio touch it come on feel the fabric mmmm isn’t he a gracious host  illyrio is no fool he knows i won’t forget my friends when i come into my throne you still slouch let me see  i need you to be perfect today can you do that for me you don’t want to wake the dragon do you  when they write the history of my reign sweet sister they will say it began today  where is he  where’s he going  but he didn’t say anything did he like her  when will they be married  is it true they lie with their horses  do you take me for a fool  i know how to play a man like drogo i give him a queen and he gives me an army  so do i i want us both to go home but they took it from us so tell me sweet sister how do we go home  we go home with an army with khal drogo’s army i would let his whole tribe fuck you all 40000 men and their horses too if that’s what it took  when do i meet with the khal we need to begin planning the invasion  when  i piss on dothraki omens i waited 17 years to get my throne back  make him happy,1,1,230
29,waymar royce, what d’you expect they’re savages one lot steals a goat from another lot and before you know it they’re ripping each other to pieces  how close did you get,1,1,29
30,will, i’ve never seen wildlings do a thing like this i’ve never seen a thing like this not ever in my life  close as any man would  whatever did it to them could do it to us they even killed the children  they were here  white walkers i saw the white walkers white walkers the white walkers i saw them  i know i broke my oath and i know i’m a deserter i should have gone back to the wall and warned them but i saw what i saw i saw the white walkers people need to know if you can get word to my family tell them i’m no coward tell them i’m sorry  forgive me lord,1,1,117
0,arya," thank you nymeria septa mordane says i have to do it again ""my things weren't properly folded"" she says who cares how they're folded they're going to get all messed up anyway  watch nymeria gloves   shut up nymeria gloves   a present   it's so skinny  i can be quick  i think so   i know which end to use   sansa can keep her sewing needles i've got a needle of my own  what are you doing here go away  he's my friend  stop it   nymeria   you've got to go they'll kill you for what you did to joffrey go on run go leave now   go   i'm sorry  no   that's not true she just bit him a little he was hurting mycah   that's not what happened   liar  liar liar liar liar   liar liar liar  lady wasn't there you leave her alone",2,1,138
1,assassin, you're not supposed to be here no one is supposed to be here it's a mercy he's dead already,2,1,19
2,benjen, sit you'll be fed untie them  welcome,2,1,7
3,catelyn,  i would have dressed your grace  i never knew   i am grateful   you've said it  i want you to leave  17 years ago you rode off with robert baratheon you came back a year later with another woman's son and now you're leaving again  that's what men always say when honor calls that's what you tell your families tell yourselves you do have a choice and you've made it i can't do it ned i really can't   talk to poole about it  i don't care about appointments   i have to take care of him  what if he's wrong bran needs me  close the windows i can't stand it please make them stop    no   what i am about to tell you must remain between us i don't think bran fell from that tower i think he was thrown  someone tried to kill him twice why why murder an innocent child unless he saw something he wasn't meant to see  i don't know but i would stake my life the lannisters are involved we already have reason to suspect their loyalty to the crown   i don't trust a raven to carry these words   no there must always be a stark in winterfell i will go myself  i must   too large a party attracts unwanted attention i don't want the lannisters to know i'm coming   i have prayed to the seven for more than a month bran's life is in their hands now,2,1,240
4,cersei, what do you mean  it's no mercy letting a child linger in such pain  i still can't believe you're going it's ridiculous even for you  the children don't need to hear your filth come  please  this is your home i'm your guest handsome one isn't he i lost my first boy a little black-haired beauty he was a fighter too tried to beat the fever that took him forgive me it's the last thing you need to hear right now   it was years ago robert was crazed beat his hands bloody on the wall all the things men do to show you how much they care the boy looked just like him such a little thing a bird without feathers they came to take his body away and robert held me i screamed and i battled but he held me that little bundle they took him away and i never saw him again never have visited the crypt never i pray to the mother every morning and night that she return your child to you  perhaps this time she'll listen   how dare you speak to your king in that manner  your girl and that butcher's boy attacked my son that animal of hers nearly tore his arm off  joffrey told us what happened you and that boy beat him with clubs while you set your wolf on him  she's not sansa come here darling   she's as wild as that animal of hers i want her punished   joffrey will bear these scars for the rest of his life   and what of the direwolf what of the beast that savaged your son  we have another wolf   where is the beast  ser ilyn do me the honor  is this some trick,2,1,288
5,daenerys, isn't there anything else   have you ever seen a dragon   everywhere even in the east  the moon  leave me with her why did the trader from garth tell you these stories  how old were you   nine   can you teach me how to make the khal happy  will it take three years  finish a man   well she sounds like an interesting woman i don't think that drogo will like it with me on top   i don't think that this is the dothraki way   no no tonight i would look upon your face,2,1,91
6,doreah, khaleesi  a trader from garth told me that dragons come from the moon  he told me the moon was an egg khaleesi that once there were two moons in the sky but one wandered too close to the sun and it cracked from the heat out of it poured a thousand thousand dragons and they drank the sun's fire  men like to talk when they're happy before your brother bought me for you it was my job to make men happy  i was nine when my mother sold me to the pleasure house  i did not touch a man for three years khaleesi first you must learn  yes  no  no khaleesi you must look in his eyes always love comes in at the eyes it is said that irogenia of lys could finish a man with nothing but her eyes  kings traveled across the world for a night with irogenia magisters sold their palaces khals burned her enemies just to have her for a few hours they say a thousand men proposed to her and she refused them all  you will make him like it khaleesi men want what they've never had and the dothraki take slaves like a hound takes a bitch are you a slave khaleesi then don't make love like a slave very good khaleesi out there he is the mighty khal but in this tent he belongs to you  if he wanted the dothraki way why did he marry you,2,1,244
7,irri, your hands  dragon gone khaleesi  no dragon brave men kill them it is known  moon is no egg moon is goddess wife of sun it is known,2,1,27
8,jaime," little brother  tell me you're not thinking of taking the black  even if the boy lives he'll be a cripple a grotesque give me a good clean death any day  my dear brother there are times you make me wonder whose side you're on  a sword for the wall  good man have you swung it yet   at someone i mean it's a strange thing the first time you cut a man you realize we're nothing but sacks of meat and blood and some bone to keep it all standing let me thank you ahead of time for guarding us all from the perils beyond the wall wildlings and white walkers and whatnot we're grateful to have good strong men like you protecting us  is it ""we"" already have you taken your vows then  give my regards to the night's watch i'm sure it will be thrilling to serve in such an elite force and if not it's only for life",2,1,160
9,jhiqui, it is known  it is known,2,1,6
10,jof, better-looking bitches than you're used to uncle my mother's been looking for you we ride for king's landing today  what good will my sympathies do them  the boy means nothing to me and i can't stand the wailing of women  i'm telling mother  you can't  he speaks damn well with his sword though ser ilyn payne the king's justice the royal executioner what is it sweet lady does the hound frighten you away with you dog you're scaring my lady i don't like to see you upset the sun is finally shining come walk with me   my princess can drink as much as she wants don't worry you're safe with me   your sister and who are you boy   a butcher's boy who wants to be a knight eh pick up your sword butcher's boy let's see how good you are   i'm your prince not your lord and i said pick up your sword  and you're not a knight only a butcher's boy that was my lady's sister you were hitting do you know that   i won't hurt him much filthy little bitch   i'll gut you you little cunt   please don't  then go don't touch me   yes it is they all attacked me and she threw my sword in the river   shut up,2,1,212
